budget,primary_genre,original_title,overview,production_company,release_date,revenue,runtime,tagline,title
9000000,Action,The Enforcer,"Dirty Harry Callahan returns again, this time saddled with a rookie female partner. Together, they must stop a terrorist group consisting of angry Vietnam veterans.",Warner Bros.,28114,46236000,96,The dirtiest Harry of them all.,The Enforcer
22000000,Action,Sudden Impact,"When a young rape victim takes justice into her own hands and becomes a serial killer, it's up to Dirty Harry Callahan, on suspension from the SFPD, to bring her to justice.",Warner Bros.,30657,67642693,117,Dirty Harry is at it again,Sudden Impact
16000000,Comedy,Not Another Teen Movie,"On a bet, a gridiron hero at John Hughes High School sets out to turn a bespectacled plain Jane into a beautiful and popular prom queen in this outrageous send-up of the teen movie genre.",Original Film,37232,66468332,89,They served you Breakfast. They gave you Pie. Now weâ€™re gonna stuff your face.,Not Another Teen Movie
21000000,Comedy,The Royal Tenenbaums,An estranged family of former child prodigies reunites when their father announces he has a terminal illness.,Touchstone Pictures,37169,71441250,110,"Family isnâ€™t a word, itâ€™s a sentence.",The Royal Tenenbaums
4500000,Action,Silent Rage,"A Texas sheriff tries kung fu on an ax killer who, revived by doctors, cannot be killed.",Columbia Pictures Corporation,30043,10500000,103,"He's an indestructible man fused with powers beyond comprehension. An unstoppable terror who in one final showdown, will push Chuck Norris to his limits. And beyond.",Silent Rage
72000000,Drama,The Majestic,"Set in 1951, a blacklisted Hollywood writer gets into a car accident, loses his memory and settles down in a small town where he is mistaken for a long-lost son.",Village Roadshow Pictures,37246,37317558,152,Sometimes your life comes into focus one frame at a time.,The Majestic
92000000,Action,Black Hawk Down,"When U.S. Rangers and an elite Delta Force team attempt to kidnap two underlings of a Somali warlord, their Black Hawk helicopters are shot down, and the Americans suffer heavy casualties, facing intense fighting from the militia on the ground.",Jerry Bruckheimer Films,37253,172989651,144,Leave No Man Behind.,Black Hawk Down
19800000,Drama,Gosford Park,"Multiple storylined drama set in 1932, showing the lives of upstairs guest and downstairs servants at a party in a country house in England.",USA Films,37202,87754044,137,Tea at four. Dinner at eight. Murder at midnight.,Gosford Park
15000000,Drama,Silent Trigger,"Waxman is a former Special Forces soldier who is now working as a heavily armed assassin for a top secret government agency. When a covert mission goes terribly wrong, Waxman and fellow assassin Clegg become that agency's prime targets.",Newmarket Capital Group,35242,76382,93,The Terms are Clear. Kill or be Killed.,Silent Trigger
12000000,Thriller,48 Hrs.,"A hard-nosed cop reluctantly teams up with a wise-cracking criminal temporarily paroled to him, in order to track down a killer.",Paramount Pictures,30292,78868508,96,One Cop. One Con. No Mercy.,48 Hrs.
15000000,Science Fiction,Brainstorm,Two brilliant research scientists have invented a device capable of recording and playing back sensory experiences only to have devastating results when one of them records their own death.,Metro-Goldwyn-Mayer (MGM),30589,10219460,106,...The Ultimate Experience,Brainstorm
32000000,Drama,The Mothman Prophecies,Reporter John Klein is plunged into a world of impossible terror and unthinkable chaos when fate draws him to a sleepy West Virginia town whose residents are being visited by a great winged shape that sows hideous nightmares and fevered visions.,Lakeshore Entertainment,37281,55157539,119,What do you see?,The Mothman Prophecies
13000000,Comedy,Cousins,"Two couples go to a mutual friends wedding, and end up swapping partners.",Paramount Pictures,32549,22030000,109,Love at first sight. Consequences to follow.,Cousins
85000000,Action,Collateral Damage,Firefighter Gordon Brewer is plunged into the complex and dangerous world of international terrorism after he loses his wife and child in a bombing credited to Claudio 'The Wolf' Perrini.,David Foster Productions,37293,78382433,108,What would you do if you lost everything?,Collateral Damage
20000000,Adventure,Return to Never Land,"The classic tale of 'Peter Pan' continues in Disney's sequel 'Return to Never Land'. In 1940 on a world besieged by World War II, Wendy, now grown up, has two children, one of them is her daughter, Jane.",Walt Disney Pictures,37301,109862682,72,The Classic Continues,Return to Never Land
17000000,Drama,The Good Son,"A young boy stays with his aunt and uncle, and befriends his cousin who's the same age. But his cousin begins showing increasing signs of psychotic behavior.",Twentieth Century Fox Film Corporation,34236,44456478,87,Evil has many faces,The Good Son
8000000,Action,Used Cars,"When the owner of a struggling used car lot is killed, it's up to the lot's hot-shot salesman to save the property from falling into the hands of the owner's ruthless brother and used-car rival.",Columbia Pictures Corporation,29413,11715321,113,"Like new, great looking and fully loaded with laughs.",Used Cars
60000000,Drama,Dragonfly,A grieving doctor is being contacted by his late wife through his patients near death experiences.,Universal Pictures,37309,52322400,104,When someone you love dies... are they gone forever?,Dragonfly
35000000,Comedy,The Bad News Bears,"An aging, down-on-his-luck ex-minor leaguer coaches a team of misfits in an ultra-competitive California little league.",Paramount Pictures,27857,35323292,102,The coach is waiting for his next beer. The pitcher is waiting for her first bra. The team is waiting for a miracle. Consider the possibilities.,The Bad News Bears
75000000,Action,We Were Soldiers,The story of the first major battle of the American phase of the Vietnam War and the soldiers on both sides that fought it.,Icon Entertainment International,37316,114660784,138,400 U.S paratroopers. 4000 Vietnamese soldiers. 12 000 miles away from home. 1 man led them into battle.,We Were Soldiers
1202007,Drama,Scarlet Street,A man in mid-life crisis befriends a young woman after rescuing her from an attack. She believes he is rich and her boyfriend persuades her to con him out of his fortune.,Diana Production,16799,2948386,103,The things she does to men can end only one way - in murder!,Scarlet Street
80000000,Science Fiction,The Time Machine,"Hoping to alter the events of the past, a 19th century inventor instead travels 800,000 years into the future, where he finds humankind divided into two warring races.",DreamWorks SKG,37319,123729176,96,The greatest adventure THROUGH all time!,The Time Machine
10000000,Western,The Long Riders,"The origins, exploits and the ultimate fate of the James gang is told in a sympathetic portrayal of the bank robbers made up of brothers who begin their legendary bank raids because of revenge.",United Artists,29353,15795189,99,All the world likes an outlaw. For some damn reason they remember 'em. - Jesse James,The Long Riders
85000000,Action,Showtime,A spoof of buddy cop movies where two very different cops are forced to team up on a new reality based T.V. cop show.,Village Roadshow Pictures,37329,77741732,95,Lights. Camera. Aggravation.,Showtime
14000000,Drama,Taps,Military cadets take extreme measures to insure the future of their academy when its existence is threatened by local condo developers.,Twentieth Century Fox Film Corporation,29940,35856053,126,"This school is our home, we think it's worth defending.",Taps
3000000,Drama,La Pianiste,"Erika Kohut, a sexually repressed piano teacher living with her domineering mother, meets a young man who starts romantically pursuing her.",Arte,37025,9801375,131,Perversion at its wicked best!,The Piano Teacher
11000000,Drama,Frailty,A man confesses to an FBI agent his family's story of how his religious fanatic father's visions lead to a series of murders to destroy supposed demons.,Cinerenta Medienbeteiligungs KG,37212,13110448,100,No Soul Is Safe.,Frailty
7000000,Drama,The Cat's Meow,Semi-true story of the Hollywood murder that occurred at a star-studded gathering aboard William Randolph Hearst's yacht in 1924.,Lions Gate Films,37106,3646994,114,Some secrets won't stay buried.,The Cat's Meow
5000000,Comedy,My Big Fat Greek Wedding,A young Greek woman falls in love with a non-Greek and struggles to get her family to accept him while she comes to terms with her heritage and cultural identity.,Home Box Office (HBO),37309,368744044,95,Love is here to stay... so is her family.,My Big Fat Greek Wedding
1000000,Action,Breakout,"A bush pilot is hired for $250,000 to go to Mexico to free an innocent prisoner.",Columbia Pictures Corporation,27535,16000000,96,Sentenced to 28 years in prison for a crime he never committed. Only two things can get him out - A lot of money and Charles Bronson!,Breakout
50000000,Crime,Murder by Numbers,"Tenacious homicide detective Cassie Mayweather and her still-green partner are working a murder case, attempting to profile two malevolently brilliant young men: cold, calculating killers whose dark secrets might explain their crimes.",Castle Rock Entertainment,37365,56714147,120,The only flaw in their plan was her.,Murder by Numbers
18000000,Fantasy,Delirious,A soap opera writer gets hit on the head and wakes up as a character in his own show.,Metro-Goldwyn-Mayer (MGM),33459,5546827,96,A Comedy about a Soap Opera Writer Who's Typing without a Ribbon,Delirious
9000000,Crime,Thief of Hearts,"A woman trapped in a boring marriage begins an affair with a handsome man who seems able to read her mind. She doesn't know that he has broken into her house and read her diaries, where she has recorded her deepest thoughts and fantasies.",Paramount Pictures,30974,10364904,100,"In the night, secrets are stolen",Thief of Hearts
